Term,Definition,Definition Source,Definition Accepted?,Context,Acceptable Values,Description,Abrreviation or Acronym,Unit,Definition uri,Broader Term,Narrower Term,Related Terms,Comments
Population,A group of interbreeding organisms that is relatively isolated (i.e. demographically uncoupled) from other such groups and is likely adapted to the local habitat.,Wild Salmon Policy https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/policy-politique-eng.html,,,,,,,,Conservation Unit,Deme,,
Precautionary Approach,"being cautious when scientific information is uncertain, unreliable, or inadequate and not using the absence of adequate scientific information as a reason to postpone or fail to take action to avoid serious harm to a resource.",https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,,
Pre-spawn Mortality,Females that reach the spawning grounds but die without releasing their eggs.,https://www.psc.org/wp-content/uploads/wpfd/preview_files/PSC-Technical-Report-No.-49(ac2ef27277eab81da1d8dea067dd80c1).pdf,,,,,,,,,,,
Productivity,the rate at which biomass is generated in a stock.,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,,
Proportion Natural Influence,,,,,,,,,,,,,
Rebuilding Plan,,,,,,A legislated requirement under the Fish Stock Provisions in the Fisheries Act if the 'major stock' is below it's limit reference point,,,,,,,
Recruitment,occurs when new fish are added to a population. It is commonly measured when small or young fish grow large or old enough to be caught in a fishery (which may be affected by catch limits or gear type) or scientific survey.,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,,
Recruits per Spawner,"
Number of adult returns or ""recruits"" per brood year spawner. The average number of adult salmon produced from one salmon spawner. A measure of productivity of a population or stock.",,,,,,,,,,,,
Reference Point,"a benchmark against which the biomass or abundance of the stock or the fishing mortality rate (or exploitation rate) can be measured in order to determine its status. These reference points can be targets, thresholds or limits depending on their intended use.",https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,,,,,,,
Removal Reference,the maximum removal rate of a fish stock,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,RR,,,,,UMSY,
Return Year,The year in which an individual salmon returns to freshwater with intent to spawn.,,,,,,,,,,,,
Run Reconstruction,,,,,,,,,,,,,
Run Size,"
1) The number of salmon returning to a given system in a given year. 2) The total number of returning adult salmon prior to being impacted by fisheries en-route to the spawning grounds. ","1) Pacific Salmon - Glossary | Pacific Region | Fisheries and Oceans Canada
2) https://www.psc.org/wp-content/uploads/wpfd/preview_files/PSC-Technical-Report-No.-49(ac2ef27277eab81da1d8dea067dd80c1).pdf",,,,,,,,,,,
Run Year,,,,,,,,,,,,,
sGen,"Spawners that would 
result in recovery to 
SMSY in one 
generation in the 
absence of fishing","Holt, C., Cass, A., Holtby, B., and Riddell, B. 2009. Indicators of status and benchmarks for conservation units in Canada’s Wild Salmon Policy. Can. Sci. Advis. Secr. Res. Doc. 2009/058: viii + 74 p. Available from https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/339096.pdf. ",,,,"Recommended by Holt et al 2009, 2023) as the lower biological benchmarks aka Limit Reference Point.",,,,Reference Point,,Limit Reference Point,
sMSY,Spawner abundance at Maximum Sustainable Yield,,,,,"""embraced by many 
as a ""target reference point"" for management"""" Holt et al 2009.",,,,,,,
Spawning Escapement,"1) The number adult salmon that escape all fisheries and other forms of mortality and make it to the spawning grounds. 2)  Spawning escapement of adult male and female spawners and jack spawners 
(precocious age 3 males) as estimated through assessment programs conducted on the spawning 
grounds or projected from other data when such programs are not conducted. ","1.https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html
2. https://www.psc.org/wp-content/uploads/wpfd/preview_files/PSC-Technical-Report-No.-49(ac2ef27277eab81da1d8dea067dd80c1).pdf",,,,,,,,,,,
Spawning Stock Biomass,the total weight of all fish in a stock that have reached reproductive maturity.,https://www.dfo-mpo.gc.ca/science/species-especes/fisheries-halieutiques/assessment-evaluation/glossary-glossaire/index-eng.html,,,,,SSB,,,,,,
sREF,,,,,,"combines three CUs, basically should be sGEN. ",,,,,,,
